caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
1946-107,1946-107-01,1946-107-01-01,1946-107-01-01-01-05,6/2/47,1,331 U.S. 469,67 S. Ct. 1330,91 L. Ed. 1610,1947 U.S. LEXIS 2202,1946,1301,Vinson,498,"UNITED STATES v. SMITH, U.S. DISTRICT JUDGE, ET AL.",3/11/47,,27,,16,60,1,,,0,110,45,23,,1,12,9,2,1,3,0,1,0,0,10370,1,1,0,4,,4,401,,84,78,1,9,0,79,SFReed,1,1,1,2,,
1946-107,1946-107-01,1946-107-01-01,1946-107-01-01-01-06,6/2/47,1,331 U.S. 469,67 S. Ct. 1330,91 L. Ed. 1610,1947 U.S. LEXIS 2202,1946,1301,Vinson,498,"UNITED STATES v. SMITH, U.S. DISTRICT JUDGE, ET AL.",3/11/47,,27,,16,60,1,,,0,110,45,23,,1,12,9,2,1,3,0,1,0,0,10370,1,1,0,4,,4,401,,84,78,1,9,0,78,HLBlack,1,1,1,2,,
1946-107,1946-107-01,1946-107-01-01,1946-107-01-01-01-07,6/2/47,1,331 U.S. 469,67 S. Ct. 1330,91 L. Ed. 1610,1947 U.S. LEXIS 2202,1946,1301,Vinson,498,"UNITED STATES v. SMITH, U.S. DISTRICT JUDGE, ET AL.",3/11/47,,27,,16,60,1,,,0,110,45,23,,1,12,9,2,1,3,0,1,0,0,10370,1,1,0,4,,4,401,,84,78,1,9,0,85,WBRutledge,1,1,1,2,,
1946-107,1946-107-01,1946-107-01-01,1946-107-01-01-01-08,6/2/47,1,331 U.S. 469,67 S. Ct. 1330,91 L. Ed. 1610,1947 U.S. LEXIS 2202,1946,1301,Vinson,498,"UNITED STATES v. SMITH, U.S. DISTRICT JUDGE, ET AL.",3/11/47,,27,,16,60,1,,,0,110,45,23,,1,12,9,2,1,3,0,1,0,0,10370,1,1,0,4,,4,401,,84,78,1,9,0,82,FMurphy,1,1,1,2,,
1946-107,1946-107-01,1946-107-01-01,1946-107-01-01-01-09,6/2/47,1,331 U.S. 469,67 S. Ct. 1330,91 L. Ed. 1610,1947 U.S. LEXIS 2202,1946,1301,Vinson,498,"UNITED STATES v. SMITH, U.S. DISTRICT JUDGE, ET AL.",3/11/47,,27,,16,60,1,,,0,110,45,23,,1,12,9,2,1,3,0,1,0,0,10370,1,1,0,4,,4,401,,84,78,1,9,0,87,FMVinson,1,1,1,2,,
1946-108,1946-108-01,1946-108-01-01,1946-108-01-01-01-01,6/2/47,1,331 U.S. 477,67 S. Ct. 1334,91 L. Ed. 1615,1947 U.S. LEXIS 2203,1946,1301,Vinson,367,MYERS v. READING COMPANY,2/6/47,,145,,231,,1,,,0,109,45,23,,0,11,2,1,1,3,0,1,0,0,80040,8,2,0,4,,3,329,,86,78,1,9,0,86,HHBurton,1,2,2,2,,
1946-108,1946-108-01,1946-108-01-01,1946-108-01-01-01-02,6/2/47,1,331 U.S. 477,67 S. Ct. 1334,91 L. Ed. 1615,1947 U.S. LEXIS 2203,1946,1301,Vinson,367,MYERS v. READING COMPANY,2/6/47,,145,,231,,1,,,0,109,45,23,,0,11,2,1,1,3,0,1,0,0,80040,8,2,0,4,,3,329,,86,78,1,9,0,84,RHJackson,1,1,2,2,,
1946-108,1946-108-01,1946-108-01-01,1946-108-01-01-01-03,6/2/47,1,331 U.S. 477,67 S. Ct. 1334,91 L. Ed. 1615,1947 U.S. LEXIS 2203,1946,1301,Vinson,367,MYERS v. READING COMPANY,2/6/47,,145,,231,,1,,,0,109,45,23,,0,11,2,1,1,3,0,1,0,0,80040,8,2,0,4,,3,329,,86,78,1,9,0,81,WODouglas,1,1,2,2,,
1946-108,1946-108-01,1946-108-01-01,1946-108-01-01-01-04,6/2/47,1,331 U.S. 477,67 S. Ct. 1334,91 L. Ed. 1615,1947 U.S. LEXIS 2203,1946,1301,Vinson,367,MYERS v. READING COMPANY,2/6/47,,145,,231,,1,,,0,109,45,23,,0,11,2,1,1,3,0,1,0,0,80040,8,2,0,4,,3,329,,86,78,1,9,0,80,FFrankfurter,1,1,2,2,,
1946-108,1946-108-01,1946-108-01-01,1946-108-01-01-01-05,6/2/47,1,331 U.S. 477,67 S. Ct. 1334,91 L. Ed. 1615,1947 U.S. LEXIS 2203,1946,1301,Vinson,367,MYERS v. READING COMPANY,2/6/47,,145,,231,,1,,,0,109,45,23,,0,11,2,1,1,3,0,1,0,0,80040,8,2,0,4,,3,329,,86,78,1,9,0,79,SFReed,1,1,2,2,,
